"filename", "language", "JSON", "JavaScript JSX", "Markdown", "HTML", "XML", "JavaScript", "JSON with Comments", "comment", "blank", "total"
"c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\sections\@dashboard\app\AppCurrentSubject.js", "JavaScript", 0, 0, 0, 0, 0, 54, 0, 4, 10, 68
"c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\sections\@dashboard\app\AppCurrentVisits.js", "JavaScript", 0, 0, 0, 0, 0, 61, 0, 5, 12, 78
"c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\sections\@dashboard\app\AppNewsUpdate.js", "JavaScript", 0, 0, 0, 0, 0, 57, 0, 5, 14, 76
"c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\sections\@dashboard\app\AppOrderTimeline.js", "JavaScript", 0, 0, 0, 0, 0, 62, 0, 4, 10, 76
"c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\sections\@dashboard\app\AppTasks.js", "JavaScript", 0, 0, 0, 0, 0, 142, 0, 5, 22, 169
"c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\sections\@dashboard\app\AppTrafficBySite.js", "JavaScript", 0, 0, 0, 0, 0, 34, 0, 3, 7, 44
"c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\sections\@dashboard\app\AppWebsiteVisits.js", "JavaScript", 0, 0, 0, 0, 0, 38, 0, 3, 6, 47
"c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\sections\@dashboard\app\AppWidgetSummary.js", "JavaScript", 0, 0, 0, 0, 0, 54, 0, 5, 8, 67
"c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\sections\@dashboard\app\index.js", "JavaScript", 0, 0, 0, 0, 0, 9, 0, 0, 1, 10
"c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\sections\@dashboard\blog\BlogPostCard.js", "JavaScript", 0, 0, 0, 0, 0, 154, 0, 5, 16, 175
"c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\sections\@dashboard\blog\BlogPostsSearch.js", "JavaScript", 0, 0, 0, 0, 0, 37, 0, 4, 7, 48
